rank,Country,ISO3,Project_007_Region,market_attractiveness_score,n_pillars_available,score_market_size,score_market_growth,score_spending_power,score_digital_readiness,score_market_stability
148,Tunisia,TUN,Africa,29.770907566574365,4,0.19974024095797696,70.96856425399744,5.743187810139113,,42.17213796120293
149,Lao PDR,LAO,South & Southeast Asia,29.69819133282284,5,0.054513118610142755,81.43318171833356,2.8087086732735487,15.833313715787451,48.36123943810951
150,"Congo, Rep.",COG,Africa,29.365040685496314,5,0.03488907339578277,73.74569494021294,1.2805383369829932,38.757933606578696,33.006147470311134
151,Tanzania,TZA,Africa,29.16796598636423,5,0.22611344222984178,77.7298155368009,0.8320306991855481,22.902215746371983,44.149654507232896
152,Libya,LBY,Africa,28.885256007623212,5,0.07664313830974218,52.842901744022456,4.729791431655168,80.7220239288527,6.054919795275999
153,Cameroon,CMR,Africa,28.479700905837735,5,0.1899272090162574,79.31474051763023,1.8565761353369417,37.781288565656396,23.25597210154886
154,Guinea-Bissau,GNB,Africa,28.23663757616336,5,0.006990701968998032,85.97209488717309,0.8458839406212787,23.204388933451916,31.153829417601504
155,Pakistan,PAK,South & Southeast Asia,27.36400825978359,4,1.4858305203010875,83.59950899479637,2.6723667087276533,,21.698326815309247
156,Comoros,COM,Africa,26.87753070029633,5,0.006885441138282505,74.30601383092417,2.4019420467319117,26.66790179138156,31.004910391305717
157,Haiti,HTI,Latin America,26.84985192685793,5,0.10161543538592638,69.23174590803963,2.3891076445929826,43.97437267896906,18.552417967302056
158,Guinea,GIN,Africa,26.829183745193045,5,0.08306213127438203,76.55797076685454,1.0251318475157594,27.08598990454502,29.39376407577552
159,Ethiopia,ETH,Africa,26.04968126395739,5,0.5683838788918284,92.7035638140181,0.8450961176514168,14.182404323739878,21.948958185485733
160,Mali,MLI,Africa,25.97314059117678,5,0.09572983703232141,81.33099279321999,0.9833999748807094,31.096859434292067,16.358720916458818
161,Sierra Leone,SLE,Africa,25.84830916626853,5,0.029037508011408638,74.67849925524948,2.090915128388908,17.819358093984107,34.62373584570872
162,Burkina Faso,BFA,Africa,24.519520245631643,5,0.06742599964092111,76.00074385399536,0.585044361393713,19.59425951624345,26.350127496884767
163,Mozambique,MOZ,Africa,24.36670780383703,5,0.08574642244218876,81.23428435795667,0.5440211706691067,13.760225265745987,26.2092618023712
164,Zimbabwe,ZWE,Africa,24.2846085351815,5,0.1591275498330243,61.46686594497772,1.3758252127232475,33.936530756625004,24.48469321174852
165,Uganda,UGA,Africa,24.068797515889237,5,0.18444450525055145,81.6338465756288,1.0556830800463792,2.278091385282877,35.19192203323758
166,Niger,NER,Africa,23.66836679222576,5,0.06355827647621287,84.61213387008293,0.3962912347293326,6.2572915189807965,27.012559060859527
167,Madagascar,MDG,Africa,23.395553217776303,5,0.06066808051385103,72.6394245773729,0.2860838548154516,11.923704865622318,32.067884710556996
168,"Somalia, Fed. Rep.",SOM,Africa,21.51801206628061,5,0.07375786833696919,84.67575299604962,0.8311770372140083,20.4117953259983,1.5975771038041395
169,Central African Republic,CAF,Africa,21.22721809705617,5,0.012217656854293633,87.0903523632173,0.5619650135378357,7.184708581689628,11.286846869981792
170,"Congo, Dem. Rep.",COD,Africa,20.47345275239106,5,0.19061874396015382,77.24035208409471,0.2213737252093699,12.706982334437205,12.007936874253854
171,Malawi,MWI,Africa,19.390274822320816,3,0.05944733469228503,,,11.651482889181738,46.45989424308842
172,Chad,TCD,Africa,19.28626487736741,5,0.05745985950585719,72.73373403661493,0.7601831121188727,5.2393846349415645,17.64056274365585
173,Zambia,ZMB,Africa,18.765908517365997,3,0.06798409180584167,,,9.995293305992172,46.234448154299976
174,Burundi,BDI,Africa,18.75942609366407,5,0.009552361630530547,69.37007878881755,0.0,0.0,24.41749931787228
175,Sudan,SDN,Africa,16.145852929214243,4,0.1698870771813623,55.66592669378587,0.8872181517058306,,7.860379794183904
176,"Yemen, Rep.",YEM,Middle East,13.059118449170565,4,0.14057433154817214,49.08449611539423,2.1754057762317607,,0.8359975735080918
177,Afghanistan,AFG,South & Southeast Asia,4.516994200715654,3,0.08832471448538146,,,9.432637203100972,4.0300206845606095
178,Syrian Arab Republic,SYR,Middle East,0.06042588623849529,4,0.1430033962622497,0.0,0.09870014869173145,,0.0
179,New Caledonia,NCL,Oceania,0.03111946096805515,1,0.03111946096805515,,,,
180,French Polynesia,PYF,Oceania,0.022945353579953726,1,0.022945353579953726,,,,
181,Curacao,CUW,Latin America,0.010851345650753257,1,0.010851345650753257,,,,
182,Faroe Islands,FRO,Europe,0.007505686501880419,1,0.007505686501880419,,,,
