DATAFLOW,FREQ,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,TIME_PERIOD,OBS_VALUE,REF_YEAR_PRICE,CONF_STATUS,DECIMALS,OBS_STATUS,UNIT_MULT,CURRENCY
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,IRL,S14,S1,P31DC,_Z,_Z,CP092,XDC,V,N,T0117,2021,32.645,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,IRL,S14,S1,P31DC,_Z,_Z,CP03,XDC,V,N,T0117,2021,4904.225,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,IRL,S14,S1,P31DC,_Z,_Z,CP096,XDC,V,N,T0117,2021,554.242,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,IRL,S14,S1,P31DC,_Z,_Z,CP062,XDC,V,N,T0117,2021,1741.157,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,IRL,S14,S1,P31DC,_Z,_Z,CP031,XDC,V,N,T0117,2021,4010.152,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,IRL,S14,S1,P31DC,_Z,_Z,CP04,XDC,V,N,T0117,2021,27744.642,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,IRL,S14,S1,P31DC,_Z,_Z,CP083,XDC,V,N,T0117,2021,2440.264,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,IRL,S14,S1,P31DC,_Z,_Z,CP021,XDC,V,N,T0117,2021,2979.028,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,IRL,S14,S1,P31DC,_Z,_Z,CP053,XDC,V,N,T0117,2021,564.901,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,IRL,S14,S1,P31DC,_Z,_Z,CP054,XDC,V,N,T0117,2021,219.548,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,IRL,S14,S1,P31DC,_Z,_Z,CP06,XDC,V,N,T0117,2021,5424.008,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE5(1.0),A,IRL,S14,S1,P31DC,_Z,_Z,CP032,XDC,V,N,T0117,2021,894.073,,F,1,A,6,EUR
