iso3,year,regulatory_quality_score
FRA,2021,75.1194295
FRA,2020,74.7166668
FRA,2019,77.844343
FRA,2018,74.8593461
FRA,2017,74.3068827
FRA,2016,72.2518067
FRA,2015,72.4278378
FRA,2014,71.142262
FRA,2013,72.9057592
PYF,2023,
PYF,2022,
PYF,2021,
PYF,2020,
PYF,2019,
PYF,2018,
PYF,2017,
PYF,2016,
PYF,2015,
PYF,2014,
PYF,2013,
GAB,2023,43.1843987
GAB,2022,42.8753088
GAB,2021,41.7331977
GAB,2020,40.6752445
GAB,2019,41.0364274
GAB,2018,42.9317816
GAB,2017,45.0495616
GAB,2016,45.2426133
GAB,2015,44.5053892
GAB,2014,44.0198661
GAB,2013,44.4784659
GMB,2023,44.9001432
GMB,2022,44.2398726
GMB,2021,42.9626951
GMB,2020,43.7586077
GMB,2019,43.8739725
GMB,2018,43.6366805
GMB,2017,46.0298579
GMB,2016,44.8179015
GMB,2015,43.9368532
GMB,2014,45.1266902
GMB,2013,44.931686
GEO,2023,67.6143372
GEO,2022,67.0550368
GEO,2021,68.1597933
GEO,2020,67.5779462
GEO,2019,68.7124365
GEO,2018,67.4982579
GEO,2017,69.7125954
GEO,2016,69.7641332
GEO,2015,67.6366159
GEO,2014,67.7874869
GEO,2013,66.3492169
DEU,2023,78.1129713
DEU,2022,79.523299
DEU,2021,80.3006818
DEU,2020,79.5011339
DEU,2019,81.1243821
DEU,2018,81.3517051
DEU,2017,81.5900917
DEU,2016,81.5087584
DEU,2015,80.7471408
DEU,2014,79.4162111
DEU,2013,78.1669695
GHA,2023,52.3487328
GHA,2022,52.305874
GHA,2021,51.8964447
GHA,2020,52.3373789
GHA,2019,51.8104794
GHA,2018,52.2002528
GHA,2017,52.283734
GHA,2016,51.0591652
GHA,2015,52.8728818
GHA,2014,52.6822289
GHA,2013,54.3124513
GRC,2023,62.9784621
GRC,2022,61.5062946
GRC,2021,61.1128813
GRC,2020,61.8347455
GRC,2019,61.4658678
GRC,2018,59.3859975
GRC,2017,57.3356875
GRC,2016,57.2358955
GRC,2015,58.5905075
GRC,2014,57.2868182
GRC,2013,59.1958272
GRL,2023,76.2473747
GRL,2022,76.2406892
GRL,2021,78.6159298
GRL,2020,78.6394734
GRL,2019,78.6980074
GRL,2018,78.6636289
GRL,2017,78.6509502
GRL,2016,78.6201108
GRL,2015,78.5909636
GRL,2014,78.4663173
GRL,2013,78.5099316
GRD,2023,55.7069098
GRD,2022,54.2194599
GRD,2021,54.0859185
GRD,2020,52.9084321
GRD,2019,52.7992497
GRD,2018,52.5309164
GRD,2017,54.0950754
GRD,2016,56.0658973
GRD,2015,56.0540546
GRD,2014,55.841429
GRD,2013,58.4940842
GUM,2023,61.0200207
GUM,2022,61.0106572
GUM,2021,61.0985387
GUM,2020,61.1315136
GUM,2019,53.744319
GUM,2018,53.6961704
GUM,2017,53.6784118
GUM,2016,53.6352186
GUM,2015,57.3289815
GUM,2014,57.1544045
GUM,2013,63.7510173
GTM,2023,48.4234013
GTM,2022,48.8428122
GTM,2021,48.7751371
GTM,2020,48.9157582
GTM,2019,48.1891499
GTM,2018,48.700401
GTM,2017,47.7408016
GTM,2016,49.245045
GTM,2015,48.4801863
GTM,2014,47.4057693
GTM,2013,46.887328
GIN,2023,39.7259233
GIN,2022,39.7137478
GIN,2021,40.4668079
GIN,2020,41.8239907
GIN,2019,42.3596149
GIN,2018,42.2011216
GIN,2017,42.4451339
GIN,2016,41.7927207
GIN,2015,41.2066878
GIN,2014,37.7248044
GIN,2013,37.4637543
GNB,2023,35.1880787
GNB,2022,34.1669754
GNB,2021,34.1790295
GNB,2020,34.4941993
GNB,2019,35.1172824
GNB,2018,35.1106773
GNB,2017,35.4647835
GNB,2016,34.9621972
GNB,2015,34.4338342
GNB,2014,34.788393
GNB,2013,33.1940081
GUY,2023,44.365328
GUY,2022,44.6483572
GUY,2021,45.8203661
GUY,2020,45.5929123
GUY,2019,46.29337
GUY,2018,47.5344956
GUY,2017,49.0149005
GUY,2016,48.7366816
GUY,2015,46.4120673
GUY,2014,45.7338425
GUY,2013,45.7568436
HTI,2023,30.5018739
HTI,2022,32.511749
HTI,2021,32.5292727
HTI,2020,34.2387511
HTI,2019,34.8037071
HTI,2018,35.2778701
HTI,2017,34.3584468
HTI,2016,33.832074
HTI,2015,33.8188986
HTI,2014,34.1265012
HTI,2013,35.9002672
HND,2023,44.1118119
HND,2022,45.092053
HND,2021,45.2897872
HND,2020,46.0942116
HND,2019,46.6755083
HND,2018,47.3012994
HND,2017,47.7656936
HND,2016,45.4794133
HND,2015,46.5023918
HND,2014,45.6458396
HND,2013,47.874201
HKG,2023,82.1612962
HKG,2022,82.0461664
HKG,2021,82.4021463
HKG,2020,84.0679348
HKG,2019,86.9540701
HKG,2018,89.7837169
HKG,2017,89.4302178
HKG,2016,90.056348
HKG,2015,89.1608309
HKG,2014,86.2433831
HKG,2013,85.8972146
HUN,2023,58.6087913
HUN,2022,59.4086263
HUN,2021,61.1759102
HUN,2020,61.7730351
HUN,2019,62.1150399
HUN,2018,61.8347171
HUN,2017,62.9871411
HUN,2016,62.6879447
HUN,2015,63.0707549
HUN,2014,61.726746
HUN,2013,65.8951766
ISL,2023,76.8631966
ISL,2022,77.337869
ISL,2021,80.5668088
ISL,2020,78.0059701
ISL,2019,78.7787271
ISL,2018,77.578298
ISL,2017,77.3623226
ISL,2016,75.110987
ISL,2015,75.3070116
ISL,2014,73.7579506
ISL,2013,72.9570999
IND,2023,52.8571419
IND,2022,53.4803007
IND,2021,52.1829925
IND,2020,52.5183166
IND,2019,53.3152922
IND,2018,52.4093503
IND,2017,51.4588982
IND,2016,50.8635602
IND,2015,49.6531841
IND,2014,48.8554278
IND,2013,48.9919988
IDN,2023,60.2378198
IDN,2022,59.296523
IDN,2021,60.2592563
IDN,2020,58.407906
IDN,2019,56.6131467
IDN,2018,56.0213415
IDN,2017,56.443186
IDN,2016,55.4045544
IDN,2015,52.6644356
IDN,2014,54.9072168
IDN,2013,54.0968292
IRN,2023,31.7039605
IRN,2022,32.8202522
IRN,2021,32.8834183
IRN,2020,32.8938543
IRN,2019,33.404801
IRN,2018,34.4704144
IRN,2017,37.7844457
IRN,2016,38.2101857
IRN,2015,37.6597221
IRN,2014,34.32944
IRN,2013,33.1834523
IRQ,2023,34.6591746
IRQ,2022,35.5993847
IRQ,2021,36.5329992
IRQ,2020,35.1307953
IRQ,2019,36.5610771
IRQ,2018,36.5493163
IRQ,2017,37.9988565
IRQ,2016,39.570425
IRQ,2015,38.8083168
IRQ,2014,37.974619
IRQ,2013,38.8627661
IRL,2023,83.2088955
IRL,2022,82.7232745
IRL,2021,80.4298103
IRL,2020,77.9790467
IRL,2019,79.8331901
IRL,2018,80.8634503
IRL,2017,80.0638929
IRL,2016,81.7674145
IRL,2015,82.0573547
IRL,2014,80.9737193
IRL,2013,79.742353
ISR,2023,71.4874085
ISR,2022,72.5639326
